[400455000] ID:94 | Stage:1 | Loc:0 | Lic:0 | Data:000000110000073f015a000005d606db0a53000003390535000001e9053900ec
[400465000] ID:95 | Stage:1 | Loc:0 | Lic:0 | Data:000000060000073e012b000005d606b50a4f0000034705320000020f053000f8
[400475000] ID:96 | Stage:1 | Loc:0 | Lic:0 | Data:000000000000074b014b000005d206d50a5b0000033e0543000001f705450106
[400485000] ID:97 | Stage:1 | Loc:0 | Lic:0 | Data:000000000000074e014a000005d006d20a580000033f0541000001f505430116
[400495000] ID:98 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000742014c000005d706d50a60000003410544000001fd053f0110
[400505000] ID:99 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000754012b000005ca06c80a4900000339053c000001fc055a0116
[400515000] ID:100 | Stage:1 | Loc:0 | Lic:0 | Data:00000000000007230127000005e406de0a620000033505430000021a05690122
[400525000] ID:101 | Stage:1 | Loc:0 | Lic:0 | Data:00000000000007340121000005dc06dc0a5f000003340549000002170575012c
[400535000] ID:102 | Stage:1 | Loc:0 | Lic:0 | Data:000000000000073f0116000005d606d70a5d00000335054d0000021a057e0149
[400545000] ID:103 | Stage:1 | Loc:0 | Lic:0 | Data:000000000000074a0121000005d206e20a6200000334055800000211058a0141
[400555000] ID:104 | Stage:1 | Loc:0 | Lic:0 | Data:000000000000074d0125000005d106ef0a670000032f05600000020e059c0141
[400565000] ID:105 | Stage:1 | Loc:0 | Lic:0 | Data:000000000000075a0131000005cc06fc0a6c0000032c056b0000020305aa014f
[400575000] ID:106 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000785011e000005b406e60a570000032d056a000001f705b2014d
[400585000] ID:107 | Stage:1 | Loc:0 | Lic:0 | Data:00000000000007570124000005cd07020a740000032a05760000021205c10131
[400595000] ID:108 | Stage:1 | Loc:0 | Lic:0 | Data:00000000000007700119000005c107020a730000032905840000021005dc0139
[400605000] ID:109 | Stage:1 | Loc:0 | Lic:0 | Data:000000000000079a00fa000005aa06fa0a6300000323058e000002090605017a
[400615000] ID:110 | Stage:1 | Loc:0 | Lic:0 | Data:000000000000079700dc000005ae07080a7c0000032205b000000230063d0155
