[397385000] ID:67 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc89fdaaff43fd01fd21fd21
[397395000] ID:68 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc60fd49fedbfd09fd21fd29
[397405000] ID:69 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc81fd69fee3fd11fd21fd29
[397415000] ID:70 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc68fd71feebfd09fd19fd31
[397425000] ID:71 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc78fd8aff13fd09fd29fd39
[397435000] ID:72 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc91fdc2ff53fd11fd31fd39
[397445000] ID:73 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fcb1fe0affb4fd21fd39fd59
[397455000] ID:74 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fd51ff2300cdfd8afda2fde2
[397465000] ID:75 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fdb2ffa4013dfd41fd71fda2
[397475000] ID:76 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fcf1fe83000cfd31fd61fd82
[397485000] ID:77 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fcc9fe3affb4fd09fd31fd39
[397495000] ID:78 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fcf1feb30034fce9fd09fd11
[397505000] ID:79 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fd9aff9c0135fd11fd19fd39
[397515000] ID:80 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fdbaff9c013dfd19fd21fd39
[397525000] ID:81 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fcf9fe72ffd4fd09fd21fd31
[397535000] ID:82 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc99fda2feebfd01fd19fd31
[397545000] ID:83 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fca9fda2fefbfd01fd21fd29
[397555000] ID:84 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fcc1fdb2ff33fcf9fd21fd29
[397565000] ID:85 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fca1fd92ff0bfd19fd29fd31
[397575000] ID:86 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc91fd82fefbfd21fd21fd31
[397585000] ID:87 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fcd9fdc2ff43fd19fd11fd21
[397595000] ID:88 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc91fd69fee3fcd9fcf1fcf9
[397605000] ID:89 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fd01fdcaff1bfc70fc91fc99
