[2425325000] ID:72 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc91fdc2ff53fd11fd31fd39
[2425335000] ID:73 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fcb1fe0affb4fd21fd39fd59
[2425345000] ID:74 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fd51ff2300cdfd8afda2fde2
[2425355000] ID:75 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fdb2ffa4013dfd41fd71fda2
[2425365000] ID:76 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fcf1fe83000cfd31fd61fd82
[2425375000] ID:77 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fcc9fe3affb4fd09fd31fd39
[2425385000] ID:78 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fcf1feb30034fce9fd09fd11
[2425395000] ID:79 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fd9aff9c0135fd11fd19fd39
[2425405000] ID:80 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fdbaff9c013dfd19fd21fd39
[2425415000] ID:81 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fcf9fe72ffd4fd09fd21fd31
[2425425000] ID:82 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc99fda2feebfd01fd19fd31
[2425435000] ID:83 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fca9fda2fefbfd01fd21fd29
[2425445000] ID:84 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fcc1fdb2ff33fcf9fd21fd29
[2425455000] ID:85 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fca1fd92ff0bfd19fd29fd31
[2425465000] ID:86 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc91fd82fefbfd21fd21fd31
[2425475000] ID:87 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fcd9fdc2ff43fd19fd11fd21
[2425485000] ID:88 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc91fd69fee3fcd9fcf1fcf9
[2425495000] ID:89 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fd01fdcaff1bfc70fc91fc99
[2425505000] ID:90 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fe22fee3ffe4fc70fc91fc99
[2425515000] ID:91 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000002c00dd01aefc99fcb9fcb1
[2425525000] ID:92 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000012d01ee0297fca9fcc1fcc1
[2425535000] ID:93 | Stg:1 | Loc:0 | Lic:0 | Data:00000000000000000000000000000000000000000145020602a7fcc1fcd1fcd9
[2425545000] ID:94 | Stg:1 | Loc:0 | Lic:0 | Data:00000000000000000000000000000000000000000155020e02affcd9fce9fcf1
