[3240135000] ID:97 | Stg:6 | Loc:0 | Lic:0 | Data:0000028c00000000010e045f00000000000007c2000000000000000000cf007a
[3240145000] ID:98 | Stg:6 | Loc:0 | Lic:0 | Data:000001240000000000000000000000000000088c00000000000001c100000000
[3240155000] ID:99 | Stg:6 | Loc:0 | Lic:0 | Data:000001240000000000000000000000000000088c00000000000001c100000000
[3240165000] ID:100 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000000018400000046000006cd00000000000001b500d10000
[3240175000] ID:101 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000000018400000046000006cd00000000000001b500d10000
[3240185000] ID:102 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000000000560000006300000462000000000000001701830000
[3240195000] ID:103 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000000000560000006300000462000000000000001701830000
[3240205000] ID:104 | Stg:6 | Loc:0 | Lic:0 | Data:000000000000000000b80000001600cc0000025c000000000000008b019c0000
[3240215000] ID:105 | Stg:6 | Loc:0 | Lic:0 | Data:000000000000000000b80000001600cc0000025c000000000000008b019c0000
[3240225000] ID:106 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000000000000000007200000441000000000000000000e70000
[3240235000] ID:107 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000000000000000007200000441000000000000000000e70000
[3240245000] ID:108 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000000000000000003a0000043000000000000000eb00d40000
[3240255000] ID:109 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000000000000000003a0000043000000000000000eb00d40000
[3240265000] ID:110 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000b0000000a00000000000004ba01260000
[3240275000] ID:111 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000b0000000a00000000000004ba01260000
[3240305000] ID:112 | Stg:6 | Loc:0 | Lic:0 | Data:0000028c00000000010e045f00000000000007c2000000000000000000cf007a
[3240315000] ID:113 | Stg:6 | Loc:0 | Lic:0 | Data:0000028c00000000010e045f00000000000007c2000000000000000000cf007a
[3240325000] ID:114 | Stg:6 | Loc:0 | Lic:0 | Data:000001240000000000000000000000000000088c00000000000001c100000000
[3240335000] ID:115 | Stg:6 | Loc:0 | Lic:0 | Data:000001240000000000000000000000000000088c00000000000001c100000000
[3240345000] ID:116 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000000018400000046000006cd00000000000001b500d10000
[3240355000] ID:117 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000000018400000046000006cd00000000000001b500d10000
[3240365000] ID:118 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000000000560000006300000462000000000000001701830000
[3240375000] ID:119 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000000000560000006300000462000000000000001701830000
[3240385000] ID:120 | Stg:6 | Loc:0 | Lic:0 | Data:000000000000000000b80000001600cc0000025c000000000000008b019c0000
[3240395000] ID:121 | Stg:6 | Loc:0 | Lic:0 | Data:000000000000000000b80000001600cc0000025c000000000000008b019c0000
[3240405000] ID:122 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000000000000000007200000441000000000000000000e70000
[3240415000] ID:123 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000000000000000007200000441000000000000000000e70000
[3240425000] ID:124 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000000000000000003a0000043000000000000000eb00d40000
[3240435000] ID:125 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000000000000000003a0000043000000000000000eb00d40000
[3240445000] ID:126 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000b0000000a00000000000004ba01260000
[3240455000] ID:127 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000b0000000a00000000000004ba01260000
[3240485000] ID:128 | Stg:6 | Loc:0 | Lic:0 | Data:000005df0000000001f906980000000000000b8600000000000000000006020a
[3240495000] ID:129 | Stg:6 | Loc:0 | Lic:0 | Data:000005df0000000001f906980000000000000b8600000000000000000006020a
[3240505000] ID:130 | Stg:6 | Loc:0 | Lic:0 | Data:000000460000000000000000000000000000079700000000000004cd00000000
[3240515000] ID:131 | Stg:6 | Loc:0 | Lic:0 | Data:000000460000000000000000000000000000079700000000000004cd00000000
[3240525000] ID:132 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000000000000000050a01b70000
[3240535000] ID:133 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000000000000000050a01b70000
[3240545000] ID:134 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000014100000000000000000000000000000000000002cf0000
[3240555000] ID:135 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000014100000000000000000000000000000000000002cf0000
[3240565000] ID:136 | Stg:6 | Loc:0 | Lic:0 | Data:041c0000000000bb01d700000000001000000000000001180000000004420000
[3240575000] ID:137 | Stg:6 | Loc:0 | Lic:0 | Data:041c0000000000bb01d700000000001000000000000001180000000004420000
[3240585000] ID:138 | Stg:6 | Loc:0 | Lic:0 | Data:000000000000014a01310000008d000400000000000000000000000003eb0000
[3240595000] ID:139 | Stg:6 | Loc:0 | Lic:0 | Data:000000000000014a01310000008d000400000000000000000000000003eb0000
[3240605000] ID:140 | Stg:6 | Loc:0 | Lic:0 | Data:000001e00000000001600000000000fa0000051c000000030000000001b20000
[3240615000] ID:141 | Stg:6 | Loc:0 | Lic:0 | Data:000001e00000000001600000000000fa0000051c000000030000000001b20000
[3240625000] ID:142 | Stg:6 | Loc:0 | Lic:0 | Data:000000000000000000000000000000a9000000000000000000000346016e0000
[3240635000] ID:143 | Stg:6 | Loc:0 | Lic:0 | Data:000000000000000000000000000000a9000000000000000000000346016e0000
[3240665000] ID:144 | Stg:6 | Loc:0 | Lic:0 | Data:000005df0000000001f906980000000000000b8600000000000000000006020a
[3240675000] ID:145 | Stg:6 | Loc:0 | Lic:0 | Data:000005df0000000001f906980000000000000b8600000000000000000006020a
[3240685000] ID:146 | Stg:6 | Loc:0 | Lic:0 | Data:000000460000000000000000000000000000079700000000000004cd00000000
[3240695000] ID:147 | Stg:6 | Loc:0 | Lic:0 | Data:000000460000000000000000000000000000079700000000000004cd00000000
[3240705000] ID:148 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000000000000000050a01b70000
[3240715000] ID:149 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000000000000000050a01b70000
[3240725000] ID:150 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000014100000000000000000000000000000000000002cf0000
[3240735000] ID:151 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000014100000000000000000000000000000000000002cf0000
[3240745000] ID:152 | Stg:6 | Loc:0 | Lic:0 | Data:041c0000000000bb01d700000000001000000000000001180000000004420000
[3240755000] ID:153 | Stg:6 | Loc:0 | Lic:0 | Data:041c0000000000bb01d700000000001000000000000001180000000004420000
[3240765000] ID:154 | Stg:6 | Loc:0 | Lic:0 | Data:000000000000014a01310000008d000400000000000000000000000003eb0000
[3240775000] ID:155 | Stg:6 | Loc:0 | Lic:0 | Data:000000000000014a01310000008d000400000000000000000000000003eb0000
[3240785000] ID:156 | Stg:6 | Loc:0 | Lic:0 | Data:000001e00000000001600000000000fa0000051c000000030000000001b20000
[3240795000] ID:157 | Stg:6 | Loc:0 | Lic:0 | Data:000001e00000000001600000000000fa0000051c000000030000000001b20000
[3240805000] ID:158 | Stg:6 | Loc:0 | Lic:0 | Data:000000000000000000000000000000a9000000000000000000000346016e0000
[3240815000] ID:159 | Stg:6 | Loc:0 | Lic:0 | Data:000000000000000000000000000000a9000000000000000000000346016e0000
[3240845000] ID:160 | Stg:6 | Loc:0 | Lic:0 | Data:000005220000000003c3093f0000000000000c2800000000000000000000018f
[3240855000] ID:161 | Stg:6 | Loc:0 | Lic:0 | Data:000005220000000003c3093f0000000000000c2800000000000000000000018f
[3240865000] ID:162 | Stg:6 | Loc:0 | Lic:0 | Data:0000006b00000000000000f40000000000000979000000000000041400000000
[3240875000] ID:163 | Stg:6 | Loc:0 | Lic:0 | Data:0000006b00000000000000f40000000000000979000000000000041400000000
[3240885000] ID:164 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000000000000000093000000000000000000000636010c0000
[3240895000] ID:165 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000000000000000093000000000000000000000636010c0000
[3240905000] ID:166 | Stg:6 | Loc:0 | Lic:0 | Data:047200000000000202d10000011c00e900000000000000000000000002e80000
[3240915000] ID:167 | Stg:6 | Loc:0 | Lic:0 | Data:047200000000000202d10000011c00e900000000000000000000000002e80000
[3240925000] ID:168 | Stg:6 | Loc:0 | Lic:0 | Data:02bb00000000000003a700000000011300000000000000000000000003880000
[3240935000] ID:169 | Stg:6 | Loc:0 | Lic:0 | Data:02bb00000000000003a700000000011300000000000000000000000003880000
[3240945000] ID:170 | Stg:6 | Loc:0 | Lic:0 | Data:024f0000000000b501aa000000f0011700000000000000000000000003970000
[3240955000] ID:171 | Stg:6 | Loc:0 | Lic:0 | Data:024f0000000000b501aa000000f0011700000000000000000000000003970000
[3240965000] ID:172 | Stg:6 | Loc:0 | Lic:0 | Data:000001bf0000000001d8003e000000ab0000056b0000001500000142011d0000
[3240975000] ID:173 | Stg:6 | Loc:0 | Lic:0 | Data:000001bf0000000001d8003e000000ab0000056b0000001500000142011d0000
[3240985000] ID:174 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000000000f000000a000000000000000000000001501b30000
[3240995000] ID:175 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000000000f000000a000000000000000000000001501b30000
[3241025000] ID:176 | Stg:6 | Loc:0 | Lic:0 | Data:000005220000000003c3093f0000000000000c2800000000000000000000018f
[3241035000] ID:177 | Stg:6 | Loc:0 | Lic:0 | Data:000005220000000003c3093f0000000000000c2800000000000000000000018f
[3241045000] ID:178 | Stg:6 | Loc:0 | Lic:0 | Data:0000006b00000000000000f40000000000000979000000000000041400000000
