[2428175000] ID:75 | Stg:1 | Loc:0 | Lic:0 | Data:000000a8011b02d005d8000007cf062108ab03dd0347003a000000000000007f
[2428185000] ID:76 | Stg:1 | Loc:0 | Lic:0 | Data:00d30094011e01d105790000082905d007fe048e030000000000000000000094
[2428195000] ID:77 | Stg:1 | Loc:0 | Lic:0 | Data:0248006d001100af04000000088b0448070006500325000000000000000000b9
[2428205000] ID:78 | Stg:1 | Loc:0 | Lic:0 | Data:01a8004901190109054c0000087605720789058b02eb000000000000000000fa
[2428215000] ID:79 | Stg:1 | Loc:0 | Lic:0 | Data:0012008e01f102b20674000007d4067f087604040307000000000000000000cf
[2428225000] ID:80 | Stg:1 | Loc:0 | Lic:0 | Data:0000008d0122033d05a90000079a061908a7036b0349007200000000000000b9
[2428235000] ID:81 | Stg:1 | Loc:0 | Lic:0 | Data:0106007d00fa01c2051900000826059307c4048d02f8000000000000000000b4
[2428245000] ID:82 | Stg:1 | Loc:0 | Lic:0 | Data:033200830049001e0392000008ac03fc063b069802d1000000000000000000bd
[2428255000] ID:83 | Stg:1 | Loc:0 | Lic:0 | Data:03a5007c00b9000003f4009208f60467060f06ab027d000000000000000000ae
[2428265000] ID:84 | Stg:1 | Loc:0 | Lic:0 | Data:0368007a00b300000415008608f804a00644065c027a0000000000000000009e
[2428275000] ID:85 | Stg:1 | Loc:0 | Lic:0 | Data:0366009c00d000000423006308e6049906390667027d00000000000000000076
[2428285000] ID:86 | Stg:1 | Loc:0 | Lic:0 | Data:038a00b900f000000418003e08cf0466060c06a902860000000000000000006c
[2428295000] ID:87 | Stg:1 | Loc:0 | Lic:0 | Data:034a00c900ed003304010000089b045006190671029e0000000000000000006c
[2428305000] ID:88 | Stg:1 | Loc:0 | Lic:0 | Data:037e00a100be000003e0004c08d4046606100662027e0000000000000000007f
[2428315000] ID:89 | Stg:1 | Loc:0 | Lic:0 | Data:0359002e00650000037c003d08ce044f061e060402850000000000000000012b
[2428325000] ID:90 | Stg:1 | Loc:0 | Lic:0 | Data:01b5000a00e9010304170000085405c207050322024000000000000000000160
[2428335000] ID:91 | Stg:1 | Loc:0 | Lic:0 | Data:000000000000038f03370000075806a408a30000028d0168000000480105013c
[2428345000] ID:92 | Stg:1 | Loc:0 | Lic:0 | Data:000000000000062a03520000065408210a360000029c047200000069048c0139
[2428355000] ID:93 | Stg:1 | Loc:0 | Lic:0 | Data:00000000000007170204000005eb076b0a6a0000030205330000016a054f011d
