[1230235000] ID:83 | Stg:6 | Loc:0 | Lic:0 | Data:00000017000000000000008f0000ffff0000006c000000000000fe8fffe60000
[1230245000] ID:84 | Stg:6 | Loc:0 | Lic:0 | Data:0000ffdf000000000000fff40000fffd00000170000000000000ff1600660000
[1230255000] ID:85 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000000ffee0000fffa00000043000000000000ff8c00280000
[1230265000] ID:86 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000000000640000fff000000147000000000000ff5300410000
[1230275000] ID:87 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000fffefff20002ffdd00000015000000000000fefe00500000
[1230285000] ID:88 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000fffb00180005ffcd00000109000000000000ff6800550000
[1230295000] ID:89 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000fffb00000002ffcc00000079000000000000ff65005e0000
[1230305000] ID:90 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000fffe0000ffffffcf0000ffef000000000000ffca00590000
[1230315000] ID:91 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000000000000000ffce000000ba0000000000000051003f0000
[1230325000] ID:92 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000000000000000ffd50000ffe7000000000000ffb600150000
[1230335000] ID:93 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000000000520000ffe50000fffd000000000000ffc400250000
[1230345000] ID:94 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000000000170000fff600000132000000000000fede00600000
[1230355000] ID:95 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000000ffe9000000000000ff0a000000000000fda100690000
[1230385000] ID:96 | Stg:6 | Loc:0 | Lic:0 | Data:000001a800000000ff260015000000000000fc570000000000000000006eff6a
[1230395000] ID:97 | Stg:6 | Loc:0 | Lic:0 | Data:0000010800000000ffa4ff2700000000000000f100000000000000760048ff6f
[1230405000] ID:98 | Stg:6 | Loc:0 | Lic:0 | Data:0000ffaf0000000000720188000000000000002a000000000000ff85ffb7ffbc
[1230415000] ID:99 | Stg:6 | Loc:0 | Lic:0 | Data:0000003c00000000000000cd0000fff300000050000000000000ff19ffea0000
[1230425000] ID:100 | Stg:6 | Loc:0 | Lic:0 | Data:0000ff98000000000000fffd0000ffeb000001b4000000000000ff09007a0000
[1230435000] ID:101 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000000ffe40000ffde0000fffd000000000000fe5600650000
[1230445000] ID:102 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000000000860000ffd4000001f8000000000000ff6c00d90000
[1230455000] ID:103 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000ffd2ffef0006ffb60000ffe4000000000000002900df0000
[1230465000] ID:104 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000ff9a001d000cffa100000188000000000000ffcb00ef0000
[1230475000] ID:105 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000ffe80000ffffffa6000000c5000000000000ff8d00c00000
[1230485000] ID:106 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000001f0000fff9ffb10000ff30000000000000ffd5004b0000
[1230495000] ID:107 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000000000000000ffc200000072000000000000003c00510000
[1230505000] ID:108 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000000000000000ffcd0000009d000000000000ffbf00420000
[1230515000] ID:109 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000000000120000ffe10000ff5a00000000000000d8004b0000
[1230525000] ID:110 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000000000d0000fff2000002d1000000000000fe8900850000
[1230535000] ID:111 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000000fffe0000fffe0000fff6000000000000fbd300800000
[1230565000] ID:112 | Stg:6 | Loc:0 | Lic:0 | Data:000002b500000000ff3dffe4000000000000fbbd00000000000000000053fead
[1230575000] ID:113 | Stg:6 | Loc:0 | Lic:0 | Data:000001e600000000ffb6fefd00000000000000de000000000000006b001bfed5
[1230585000] ID:114 | Stg:6 | Loc:0 | Lic:0 | Data:0000ffc700000000005301de0000000000000157000000000000ff62ffb9ff5e
[1230595000] ID:115 | Stg:6 | Loc:0 | Lic:0 | Data:000000b300000000000000b10000ffeb0000ffc1000000000000febaffd30000
[1230605000] ID:116 | Stg:6 | Loc:0 | Lic:0 | Data:0000ffcd00000000000000320000ffd40000026f000000000000febf009a0000
[1230615000] ID:117 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000fffcfff70000ffb60000ffa9000000000000fe6200400000
[1230625000] ID:118 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000fff8005a0000ffac000000f8000000000000ff5900d40000
